Start date;End date;Biomass [MWh] Calculated resolutions;Hydropower [MWh] Calculated resolutions;Wind onshore [MWh] Calculated resolutions;Photovoltaics [MWh] Calculated resolutions;Other renewable [MWh] Calculated resolutions;Nuclear [MWh] Calculated resolutions;Hard coal [MWh] Calculated resolutions;Fossil gas [MWh] Calculated resolutions;Hydro pumped storage [MWh] Calculated resolutions;Other conventional [MWh] Calculated resolutions
Feb 9, 2015;Feb 10, 2015;11,712.00;10,008.00;3,460.00;2,117.75;216.00;64,561.50;51,962.50;0.00;11,188.50;3,192.00
Feb 10, 2015;Feb 11, 2015;11,712.00;9,940.50;375.00;4,501.25;216.00;64,689.75;70,031.00;0.00;9,981.25;3,192.00
Feb 11, 2015;Feb 12, 2015;11,712.00;9,947.75;1,017.50;7,457.00;216.00;64,556.25;67,390.75;0.00;14,137.75;3,192.00
Feb 12, 2015;Feb 13, 2015;11,712.00;9,856.25;249.25;8,977.75;216.00;64,612.50;69,978.50;0.00;13,313.25;3,192.00
Feb 13, 2015;Feb 14, 2015;11,712.00;9,639.00;517.75;10,225.50;216.00;64,591.00;73,047.00;0.00;10,724.25;3,192.00
Feb 14, 2015;Feb 15, 2015;11,712.00;9,246.00;1,201.25;8,681.50;216.00;64,658.50;57,351.25;0.00;6,997.00;3,192.00
Feb 15, 2015;Feb 16, 2015;11,712.00;9,171.75;654.75;6,243.75;216.00;64,688.00;35,738.25;0.00;4,164.50;3,192.00
Feb 16, 2015;Feb 17, 2015;11,712.00;9,162.00;307.25;6,796.25;216.00;64,521.00;52,410.50;0.00;5,905.75;3,192.00
Feb 17, 2015;Feb 18, 2015;11,712.00;9,656.25;94.00;3,912.75;216.00;64,583.75;62,749.25;0.00;13,597.50;3,192.00
Feb 18, 2015;Feb 19, 2015;11,712.00;9,842.00;90.50;4,323.50;216.00;64,545.00;66,369.75;1,197.00;12,826.00;4,247.00
Feb 19, 2015;Feb 20, 2015;11,712.00;9,789.75;322.00;8,020.00;216.00;64,554.00;61,779.50;516.75;11,809.50;3,930.25
Feb 20, 2015;Feb 21, 2015;11,712.00;9,145.00;3,366.75;16,419.75;216.00;64,152.00;50,437.00;61.50;8,035.50;3,302.75
Feb 21, 2015;Feb 22, 2015;11,712.00;9,301.00;3,833.75;5,242.25;216.00;64,624.50;28,760.25;0.00;8,554.50;3,192.00
Feb 22, 2015;Feb 23, 2015;11,712.00;9,643.75;242.75;5,867.50;216.00;64,482.75;25,678.75;0.00;6,323.00;3,192.00
Feb 23, 2015;Feb 24, 2015;11,712.00;10,237.50;3,204.50;2,565.75;216.00;64,511.00;48,895.75;4,371.00;13,275.75;4,110.00
Feb 24, 2015;Feb 25, 2015;11,712.00;11,043.50;2,137.00;7,291.75;216.00;64,581.50;57,480.50;0.00;9,325.75;3,348.50
Feb 25, 2015;Feb 26, 2015;11,712.00;10,759.00;540.75;12,643.25;216.00;64,524.50;62,369.25;675.50;9,940.25;3,749.75
Feb 26, 2015;Feb 27, 2015;11,712.00;10,385.00;1,193.50;19,202.00;216.00;64,500.50;58,092.75;0.00;6,561.75;3,192.00
Feb 27, 2015;Feb 28, 2015;11,712.00;10,673.25;1,710.25;2,918.75;216.00;64,671.25;56,609.50;467.25;12,278.00;3,507.50
Feb 28, 2015;Mar 1, 2015;11,712.00;10,815.75;930.00;13,176.25;216.00;64,499.75;8,882.75;0.00;6,921.75;3,192.00
Mar 1, 2015;Mar 2, 2015;11,712.00;10,818.00;5,506.25;4,726.00;216.00;63,788.00;1,471.25;75.00;8,198.00;3,192.00
Mar 2, 2015;Mar 3, 2015;11,712.00;12,768.25;9,182.50;7,824.00;216.00;64,278.75;43,605.50;0.00;10,071.75;3,192.00
Mar 3, 2015;Mar 4, 2015;11,712.00;13,072.00;5,628.75;19,702.25;216.00;64,255.00;44,410.75;0.00;8,013.00;3,192.00
Mar 4, 2015;Mar 5, 2015;11,712.00;13,397.25;3,464.00;13,383.75;216.00;64,597.75;51,379.00;2,376.00;7,747.25;3,192.00
Mar 5, 2015;Mar 6, 2015;11,712.00;13,292.50;2,113.75;14,040.25;216.00;64,750.25;55,967.50;0.00;9,260.25;3,192.00
Mar 6, 2015;Mar 7, 2015;11,712.00;12,754.50;121.00;19,138.50;216.00;64,774.50;49,672.50;0.00;12,341.25;3,192.00
Mar 7, 2015;Mar 8, 2015;11,712.00;11,880.75;1,213.00;18,700.75;216.00;64,733.25;8,347.00;448.75;6,677.50;4,011.50
Mar 8, 2015;Mar 9, 2015;11,712.00;11,750.00;1,429.75;20,985.25;216.00;64,642.25;7,937.25;0.00;4,772.00;3,495.00
Mar 9, 2015;Mar 10, 2015;11,712.00;11,814.75;224.00;23,157.50;216.00;64,620.75;47,405.75;0.00;10,852.50;3,334.25
Mar 10, 2015;Mar 11, 2015;11,712.00;11,334.75;543.25;16,392.00;216.00;64,658.50;59,494.25;0.00;7,401.50;3,192.00
Mar 11, 2015;Mar 12, 2015;11,712.00;11,471.25;1,196.00;20,819.00;216.00;64,658.00;54,197.50;0.00;9,575.50;3,259.25
Mar 12, 2015;Mar 13, 2015;11,712.00;11,606.25;1,241.75;21,028.00;216.00;64,529.75;57,056.25;64.75;7,895.50;3,192.00
Mar 13, 2015;Mar 14, 2015;11,712.00;11,529.50;2,372.25;18,195.00;216.00;64,604.00;41,631.00;108.00;10,081.75;3,480.25
Mar 14, 2015;Mar 15, 2015;11,712.00;11,832.25;1,132.75;10,947.25;216.00;64,617.25;38,556.50;0.00;11,916.00;3,192.00
Mar 15, 2015;Mar 16, 2015;11,712.00;10,740.75;2,620.75;15,576.25;216.00;64,638.00;8,763.25;0.00;4,203.25;3,192.00
Mar 16, 2015;Mar 17, 2015;11,712.00;10,763.25;3,200.75;20,884.25;216.00;64,538.75;34,458.00;3,547.50;10,451.00;3,290.50
Mar 17, 2015;Mar 18, 2015;11,712.00;10,871.25;2,558.25;21,350.25;216.00;64,567.00;44,739.75;4,924.25;11,822.00;3,339.50
Mar 18, 2015;Mar 19, 2015;11,712.00;10,905.25;414.25;21,887.75;216.00;64,506.50;53,350.00;701.75;8,192.50;3,600.75
Mar 19, 2015;Mar 20, 2015;11,712.00;11,551.00;423.00;22,396.75;216.00;64,620.25;65,608.00;137.50;11,370.75;3,449.75
Mar 20, 2015;Mar 21, 2015;11,712.00;11,043.00;302.75;22,671.50;216.00;64,563.00;59,186.75;0.00;9,225.50;3,192.00
Mar 21, 2015;Mar 22, 2015;11,712.00;10,594.75;1,682.50;13,134.75;216.00;64,543.50;24,504.75;0.00;5,779.75;3,192.00
Mar 22, 2015;Mar 23, 2015;11,712.00;11,899.25;3,296.50;8,853.75;216.00;64,571.50;19,781.75;0.00;9,633.25;3,192.00
Mar 23, 2015;Mar 24, 2015;11,712.00;11,591.25;573.25;12,385.50;216.00;64,581.75;63,050.25;5,596.75;12,467.75;3,440.50
Mar 24, 2015;Mar 25, 2015;11,712.00;12,020.50;1,003.00;21,641.25;216.00;64,788.25;71,410.00;1,193.25;11,546.50;3,566.75
Mar 25, 2015;Mar 26, 2015;11,712.00;11,116.75;2,784.75;67.00;216.00;64,684.00;64,546.00;3,646.75;8,988.25;4,114.75
Mar 26, 2015;Mar 27, 2015;11,712.00;11,946.75;2,752.75;4,702.75;216.00;64,695.75;69,027.25;5,787.25;16,323.00;4,042.50
Mar 27, 2015;Mar 28, 2015;11,712.00;10,940.25;3,608.25;15,388.50;216.00;64,677.00;54,295.00;4,736.25;7,863.50;3,192.00
Mar 28, 2015;Mar 29, 2015;11,712.00;11,014.00;1,789.50;21,995.25;216.00;64,023.25;15,534.50;0.00;6,269.50;3,192.00
Mar 29, 2015;Mar 30, 2015;11,224.00;10,703.50;9,811.25;5,705.25;207.00;55,348.75;9,424.50;880.00;6,672.00;3,059.00
Mar 30, 2015;Mar 31, 2015;11,712.00;13,847.25;10,192.75;10,915.00;216.00;62,830.00;42,637.75;0.00;8,887.25;6,276.75
Mar 31, 2015;Apr 1, 2015;11,712.00;14,102.75;8,934.25;7,993.75;216.00;63,418.50;41,574.75;5,330.75;8,565.50;3,192.00
