STATIONS_ID;MESS_DATUM;QN_6;  RS; RSF;SH_TAG;NSH_TAG;eor
       1443;19490501;    5;   0.0;   0;   0;-999;eor
       1443;19490502;    5;   0.0;   0;   0;-999;eor
       1443;19490503;    5;   0.0;   0;   0;-999;eor
       1443;19490504;    5;   0.3;   1;   0;-999;eor
       1443;19490505;    5;  10.9;   1;   0;-999;eor
       1443;19490506;    5;   5.6;   1;   0;-999;eor
       1443;19490507;    5;   0.0;   0;   0;-999;eor
       1443;19490508;    5;   0.0;   0;   0;-999;eor
       1443;19490509;    5;   0.0;   0;   0;-999;eor
       1443;19490510;    5;   0.0;   1;   0;-999;eor
       1443;19490511;    5;   0.2;   1;   0;-999;eor
       1443;19490512;    5;   3.2;   1;   0;-999;eor
       1443;19490513;    5;  10.3;   1;   0;-999;eor
       1443;19490514;    5;   0.0;   0;   0;-999;eor
       1443;19490515;    5;   0.0;   0;   0;-999;eor
       1443;19490516;    5;   0.3;   1;   0;-999;eor
       1443;19490517;    5;  15.8;   1;   0;-999;eor
       1443;19490518;    5;   8.8;   1;   0;-999;eor
       1443;19490519;    5;   0.9;   1;   0;-999;eor
       1443;19490520;    5;   9.8;   1;   0;-999;eor
       1443;19490521;    5;   1.2;   1;   0;-999;eor
       1443;19490522;    5;   0.0;   1;   0;-999;eor
       1443;19490523;    5;   0.0;   1;   0;-999;eor
       1443;19490524;    5;   2.2;   1;   0;-999;eor
       1443;19490525;    5;   0.0;   0;   0;-999;eor
       1443;19490526;    5;   2.9;   1;   0;-999;eor
       1443;19490527;    5;   0.0;   0;   0;-999;eor
       1443;19490528;    5;   1.6;   1;   0;-999;eor
       1443;19490529;    5;  28.8;   1;   0;-999;eor
       1443;19490530;    5;  19.3;   1;   0;-999;eor
       1443;19490531;    5;   9.0;   1;   0;-999;eor
       1443;19490601;    5;   0.0;   1;   0;-999;eor
       1443;19490602;    5;   3.7;   1;   0;-999;eor
       1443;19490603;    5;   2.5;   1;   0;-999;eor
       1443;19490604;    5;   3.6;   1;   0;-999;eor
       1443;19490605;    5;   1.2;   1;   0;-999;eor
       1443;19490606;    5;   0.0;   0;   0;-999;eor
       1443;19490607;    5;   0.1;   1;   0;-999;eor
       1443;19490608;    5;   0.7;   1;   0;-999;eor
       1443;19490609;    5;  10.5;   1;   0;-999;eor
       1443;19490610;    5;   0.5;   1;   0;-999;eor
       1443;19490611;    5;   1.7;   1;   0;-999;eor
       1443;19490612;    5;   0.0;   0;   0;-999;eor
       1443;19490613;    5;   0.0;   0;   0;-999;eor
       1443;19490614;    5;   0.0;   0;   0;-999;eor
       1443;19490615;    5;   0.0;   0;   0;-999;eor
       1443;19490616;    5;   0.0;   0;   0;-999;eor
       1443;19490617;    5;   0.0;   0;   0;-999;eor
       1443;19490618;    5;   0.0;   0;   0;-999;eor
       1443;19490619;    5;   0.0;   0;   0;-999;eor
       1443;19490620;    5;   0.0;   0;   0;-999;eor
       1443;19490621;    5;   0.0;   0;   0;-999;eor
       1443;19490622;    5;   0.0;   0;   0;-999;eor
       1443;19490623;    5;   0.0;   0;   0;-999;eor
       1443;19490624;    5;   0.0;   0;   0;-999;eor
       1443;19490625;    5;   0.0;   0;   0;-999;eor
       1443;19490626;    5;   0.0;   0;   0;-999;eor
       1443;19490627;    5;   0.0;   0;   0;-999;eor
       1443;19490628;    5;   0.0;   0;   0;-999;eor
       1443;19490629;    5;   0.0;   0;   0;-999;eor
       1443;19490630;    5;   0.0;   0;   0;-999;eor
       1443;19490701;    5;   0.0;   0;   0;-999;eor
