Beginn-UTC,Ende-UTC,Beginn-Lokalzeit,Ende-Lokalzeit,Globalstrahlung (W/m²)
2018-07-13 00:00:00,2018-07-14 00:00:00,2018-07-13 02:00:00,2018-07-14 02:00:00,341.2974
2018-07-14 00:00:00,2018-07-15 00:00:00,2018-07-14 02:00:00,2018-07-15 02:00:00,307.8962
2018-07-15 00:00:00,2018-07-16 00:00:00,2018-07-15 02:00:00,2018-07-16 02:00:00,281.5374
2018-07-16 00:00:00,2018-07-17 00:00:00,2018-07-16 02:00:00,2018-07-17 02:00:00,338.0471
2018-07-17 00:00:00,2018-07-18 00:00:00,2018-07-17 02:00:00,2018-07-18 02:00:00,296.8917
2018-07-18 00:00:00,2018-07-19 00:00:00,2018-07-18 02:00:00,2018-07-19 02:00:00,334.2549
2018-07-19 00:00:00,2018-07-20 00:00:00,2018-07-19 02:00:00,2018-07-20 02:00:00,317.4417
2018-07-20 00:00:00,2018-07-21 00:00:00,2018-07-20 02:00:00,2018-07-21 02:00:00,232.7941
2018-07-21 00:00:00,2018-07-22 00:00:00,2018-07-21 02:00:00,2018-07-22 02:00:00,155.1287
2018-07-22 00:00:00,2018-07-23 00:00:00,2018-07-22 02:00:00,2018-07-23 02:00:00,213.0259
2018-07-24 00:00:00,2018-07-25 00:00:00,2018-07-24 02:00:00,2018-07-25 02:00:00,318.9857
2018-07-25 00:00:00,2018-07-26 00:00:00,2018-07-25 02:00:00,2018-07-26 02:00:00,283.9873
2018-07-26 00:00:00,2018-07-27 00:00:00,2018-07-26 02:00:00,2018-07-27 02:00:00,190.8551
2018-07-27 00:00:00,2018-07-28 00:00:00,2018-07-27 02:00:00,2018-07-28 02:00:00,271.5214
2018-07-28 00:00:00,2018-07-29 00:00:00,2018-07-28 02:00:00,2018-07-29 02:00:00,141.8603
2018-07-29 00:00:00,2018-07-30 00:00:00,2018-07-29 02:00:00,2018-07-30 02:00:00,314.9825
2018-07-30 00:00:00,2018-07-31 00:00:00,2018-07-30 02:00:00,2018-07-31 02:00:00,313.3408
2018-07-31 00:00:00,2018-08-01 00:00:00,2018-07-31 02:00:00,2018-08-01 02:00:00,406.6735
2018-08-01 00:00:00,2018-08-02 00:00:00,2018-08-01 02:00:00,2018-08-02 02:00:00,247.9698
2018-08-02 00:00:00,2018-08-03 00:00:00,2018-08-02 02:00:00,2018-08-03 02:00:00,378.245
2018-08-03 00:00:00,2018-08-04 00:00:00,2018-08-03 02:00:00,2018-08-04 02:00:00,270.1414
2018-08-04 00:00:00,2018-08-05 00:00:00,2018-08-04 02:00:00,2018-08-05 02:00:00,281.8462
2018-08-05 00:00:00,2018-08-06 00:00:00,2018-08-05 02:00:00,2018-08-06 02:00:00,294.1565
2018-08-06 00:00:00,2018-08-07 00:00:00,2018-08-06 02:00:00,2018-08-07 02:00:00,285.5658
2018-08-07 00:00:00,2018-08-08 00:00:00,2018-08-07 02:00:00,2018-08-08 02:00:00,212.6959
2018-08-08 00:00:00,2018-08-09 00:00:00,2018-08-08 02:00:00,2018-08-09 02:00:00,258.3842
2018-08-09 00:00:00,2018-08-10 00:00:00,2018-08-09 02:00:00,2018-08-10 02:00:00,212.0546
2018-08-10 00:00:00,2018-08-11 00:00:00,2018-08-10 02:00:00,2018-08-11 02:00:00,303.5468
2018-08-11 00:00:00,2018-08-12 00:00:00,2018-08-11 02:00:00,2018-08-12 02:00:00,313.2374
2018-08-12 00:00:00,2018-08-13 00:00:00,2018-08-12 02:00:00,2018-08-13 02:00:00,308.0741
2018-08-13 00:00:00,2018-08-14 00:00:00,2018-08-13 02:00:00,2018-08-14 02:00:00,106.9951
2018-08-14 00:00:00,2018-08-15 00:00:00,2018-08-14 02:00:00,2018-08-15 02:00:00,213.0507
2018-08-15 00:00:00,2018-08-16 00:00:00,2018-08-15 02:00:00,2018-08-16 02:00:00,286.4673
2018-08-16 00:00:00,2018-08-17 00:00:00,2018-08-16 02:00:00,2018-08-17 02:00:00,287.2764
2018-08-17 00:00:00,2018-08-18 00:00:00,2018-08-17 02:00:00,2018-08-18 02:00:00,201.9753
2018-08-18 00:00:00,2018-08-19 00:00:00,2018-08-18 02:00:00,2018-08-19 02:00:00,199.0229
2018-08-19 00:00:00,2018-08-20 00:00:00,2018-08-19 02:00:00,2018-08-20 02:00:00,258.6642
2018-08-20 00:00:00,2018-08-21 00:00:00,2018-08-20 02:00:00,2018-08-21 02:00:00,278.2633
2018-08-21 00:00:00,2018-08-22 00:00:00,2018-08-21 02:00:00,2018-08-22 02:00:00,272.6132
2018-08-22 00:00:00,2018-08-23 00:00:00,2018-08-22 02:00:00,2018-08-23 02:00:00,255.1028
2018-08-23 00:00:00,2018-08-24 00:00:00,2018-08-23 02:00:00,2018-08-24 02:00:00,258.5071
2018-08-24 00:00:00,2018-08-25 00:00:00,2018-08-24 02:00:00,2018-08-25 02:00:00,82.73708
2018-08-25 00:00:00,2018-08-26 00:00:00,2018-08-25 02:00:00,2018-08-26 02:00:00,47.37348
2018-08-26 00:00:00,2018-08-27 00:00:00,2018-08-26 02:00:00,2018-08-27 02:00:00,282.3065
2018-08-27 00:00:00,2018-08-28 00:00:00,2018-08-27 02:00:00,2018-08-28 02:00:00,176.5733
2018-08-28 00:00:00,2018-08-29 00:00:00,2018-08-28 02:00:00,2018-08-29 02:00:00,316.2573
2018-08-29 00:00:00,2018-08-30 00:00:00,2018-08-29 02:00:00,2018-08-30 02:00:00,169.8601
2018-08-30 00:00:00,2018-08-31 00:00:00,2018-08-30 02:00:00,2018-08-31 02:00:00,160.3546
2018-08-31 00:00:00,2018-09-01 00:00:00,2018-08-31 02:00:00,2018-09-01 02:00:00,24.72854
2018-09-01 00:00:00,2018-09-02 00:00:00,2018-09-01 02:00:00,2018-09-02 02:00:00,136.2935
2018-09-02 00:00:00,2018-09-03 00:00:00,2018-09-02 02:00:00,2018-09-03 02:00:00,90.42811
2018-09-03 00:00:00,2018-09-04 00:00:00,2018-09-03 02:00:00,2018-09-04 02:00:00,92.2193
2018-09-04 00:00:00,2018-09-05 00:00:00,2018-09-04 02:00:00,2018-09-05 02:00:00,178.181
2018-09-05 00:00:00,2018-09-06 00:00:00,2018-09-05 02:00:00,2018-09-06 02:00:00,324.4381
2018-09-06 00:00:00,2018-09-07 00:00:00,2018-09-06 02:00:00,2018-09-07 02:00:00,143.3225
2018-09-07 00:00:00,2018-09-08 00:00:00,2018-09-07 02:00:00,2018-09-08 02:00:00,86.50955
2018-09-08 00:00:00,2018-09-09 00:00:00,2018-09-08 02:00:00,2018-09-09 02:00:00,238.2412
2018-09-09 00:00:00,2018-09-10 00:00:00,2018-09-09 02:00:00,2018-09-10 02:00:00,249.6177
2018-09-10 00:00:00,2018-09-11 00:00:00,2018-09-10 02:00:00,2018-09-11 02:00:00,222.0385
2018-09-11 00:00:00,2018-09-12 00:00:00,2018-09-11 02:00:00,2018-09-12 02:00:00,233.9941
2018-09-12 00:00:00,2018-09-13 00:00:00,2018-09-12 02:00:00,2018-09-13 02:00:00,224.9458
2018-09-13 00:00:00,2018-09-14 00:00:00,2018-09-13 02:00:00,2018-09-14 02:00:00,148.016
2018-09-14 00:00:00,2018-09-15 00:00:00,2018-09-14 02:00:00,2018-09-15 02:00:00,128.3926
2018-09-15 00:00:00,2018-09-16 00:00:00,2018-09-15 02:00:00,2018-09-16 02:00:00,228.9398
2018-09-16 00:00:00,2018-09-17 00:00:00,2018-09-16 02:00:00,2018-09-17 02:00:00,208.5758
2018-09-17 00:00:00,2018-09-18 00:00:00,2018-09-17 02:00:00,2018-09-18 02:00:00,222.4001
2018-09-18 00:00:00,2018-09-19 00:00:00,2018-09-18 02:00:00,2018-09-19 02:00:00,174.1112
