STATIONS_ID;MESS_DATUM;QN_6;RS; RSF;SH_TAG;NSH_TAG;eor
       1443;20230805;    3;   3.1;   6;   0;-999;eor
       1443;20230806;    3;  10.1;   6;   0;-999;eor
       1443;20230807;    3;   0.6;   6;   0;-999;eor
       1443;20230808;    3;   0.2;   6;   0;-999;eor
       1443;20230809;    3;   0.1;   6;   0;-999;eor
       1443;20230810;    3;   0.0;   0;   0;-999;eor
       1443;20230811;    3;   0.1;   6;   0;-999;eor
       1443;20230812;    3;   1.7;   6;   0;-999;eor
       1443;20230813;    3;  11.1;   6;   0;-999;eor
       1443;20230814;    3;   0.5;   6;   0;-999;eor
       1443;20230815;    3;   0.0;   6;   0;-999;eor
       1443;20230816;    3;   0.0;   0;   0;-999;eor
       1443;20230817;    3;   0.0;   0;   0;-999;eor
       1443;20230818;    3;   0.0;   0;   0;-999;eor
       1443;20230819;    3;   0.0;   0;   0;-999;eor
       1443;20230820;    3;   0.0;   0;   0;-999;eor
       1443;20230821;    3;   0.0;   0;   0;-999;eor
       1443;20230822;    3;   0.0;   0;   0;-999;eor
       1443;20230823;    3;   0.0;   0;   0;-999;eor
       1443;20230824;    3;  36.7;   6;   0;-999;eor
       1443;20230825;    3;  12.9;   6;   0;-999;eor
       1443;20230826;    3;   2.7;   6;   0;-999;eor
       1443;20230827;    3;   2.9;   6;   0;-999;eor
       1443;20230828;    3;   7.5;   6;   0;-999;eor
       1443;20230829;    3;   0.0;   6;   0;-999;eor
       1443;20230830;    3;   2.7;   6;   0;-999;eor
       1443;20230831;    3;   0.1;   6;   0;-999;eor
       1443;20230901;    3;   0.0;   6;   0;-999;eor
       1443;20230902;    3;   0.0;   0;   0;-999;eor
       1443;20230903;    3;   0.0;   0;   0;-999;eor
       1443;20230904;    3;   0.0;   0;   0;-999;eor
       1443;20230905;    3;   0.0;   0;   0;-999;eor
       1443;20230906;    3;   0.0;   0;   0;-999;eor
       1443;20230907;    3;   0.0;   0;   0;-999;eor
       1443;20230908;    3;   0.0;   0;   0;-999;eor
       1443;20230909;    3;   0.0;   0;   0;-999;eor
       1443;20230910;    3;   0.0;   0;   0;-999;eor
       1443;20230911;    3;   0.0;   0;   0;-999;eor
       1443;20230912;    3;   1.5;   6;   0;-999;eor
       1443;20230913;    3;   1.2;   6;   0;-999;eor
       1443;20230914;    3;   0.0;   0;   0;-999;eor
       1443;20230915;    3;   0.0;   0;   0;-999;eor
       1443;20230916;    3;   0.0;   6;   0;-999;eor
       1443;20230917;    3;   7.5;   6;   0;-999;eor
       1443;20230918;    3;  11.2;   6;   0;-999;eor
       1443;20230919;    3;   0.0;   6;   0;-999;eor
       1443;20230920;    3;   0.0;   0;   0;-999;eor
       1443;20230921;    3;   7.4;   6;   0;-999;eor
       1443;20230922;    3;   2.4;   6;   0;-999;eor
       1443;20230923;    3;   0.3;   6;   0;-999;eor
       1443;20230924;    3;   0.0;   0;   0;-999;eor
       1443;20230925;    3;   0.0;   4;   0;-999;eor
       1443;20230926;    3;   0.0;   0;   0;-999;eor
       1443;20230927;    3;   0.0;   0;   0;-999;eor
       1443;20230928;    3;   0.0;   0;   0;-999;eor
       1443;20230929;    3;   0.0;   0;   0;-999;eor
       1443;20230930;    3;   0.0;   0;   0;-999;eor
       1443;20231001;    3;   0.0;   0;   0;-999;eor
       1443;20231002;    3;   0.0;   0;   0;-999;eor
       1443;20231003;    3;   3.7;   6;   0;-999;eor
       1443;20231004;    3;   0.0;   4;   0;-999;eor
       1443;20231005;    3;   0.0;   0;   0;-999;eor
       1443;20231006;    3;   0.0;   0;   0;-999;eor
       1443;20231007;    3;   0.0;   0;   0;-999;eor
       1443;20231008;    3;   0.0;   0;   0;-999;eor
       1443;20231009;    3;   0.0;   0;   0;-999;eor
       1443;20231010;    3;   0.0;   0;   0;-999;eor
       1443;20231011;    3;   0.0;   0;   0;-999;eor
       1443;20231012;    3;   0.0;   0;   0;-999;eor
       1443;20231013;    3;   0.0;   6;   0;-999;eor
       1443;20231014;    3;   7.4;   6;   0;-999;eor
       1443;20231015;    3;   0.0;   6;   0;-999;eor
       1443;20231016;    3;   0.0;   0;   0;-999;eor
       1443;20231017;    3;   0.0;   0;   0;-999;eor
       1443;20231018;    3;   2.1;   6;   0;-999;eor
       1443;20231019;    3;   5.8;   6;   0;-999;eor
       1443;20231020;    3;   5.0;   4;   0;-999;eor
       1443;20231021;    3;   0.0;   0;-999;-999;eor
       1443;20231022;    3;   0.0;   0;-999;-999;eor
       1443;20231023;    3;   1.8;   6;   0;-999;eor
       1443;20231024;    3;  13.0;   6;   0;-999;eor
       1443;20231025;    3;  10.9;   6;   0;-999;eor
       1443;20231026;    3;  13.6;   6;   0;-999;eor
       1443;20231027;    3;   4.5;   6;   0;-999;eor
       1443;20231028;    3;   0.0;   6;   0;-999;eor
       1443;20231029;    3;   0.0;   6;   0;-999;eor
       1443;20231030;    3;  10.5;   6;   0;-999;eor
       1443;20231031;    3;   0.5;   6;   0;-999;eor
       1443;20231101;    3;   1.7;   6;   0;-999;eor
       1443;20231102;    3;   4.4;   6;   0;-999;eor
       1443;20231103;    3;   0.4;   6;   0;-999;eor
       1443;20231104;    3;   1.8;   6;   0;-999;eor
       1443;20231105;    3;   0.2;   6;   0;-999;eor
       1443;20231106;    3;   1.7;   6;   0;-999;eor
       1443;20231107;    3;   1.1;   6;   0;-999;eor
       1443;20231108;    3;   0.0;   0;   0;-999;eor
       1443;20231109;    3;   4.5;   6;   0;-999;eor
       1443;20231110;    3;   1.2;   6;   0;-999;eor
