Start date;End date;grid load [MWh] Calculated resolutions;Grid load incl. hydro pumped storage [MWh] Calculated resolutions;Residual load [MWh] Calculated resolutions
Jul 29, 2024;Jul 30, 2024;12,845.25;12,845.25;9,687.50
Jul 30, 2024;Jul 31, 2024;13,297.00;13,297.00;11,118.75
Jul 31, 2024;Aug 1, 2024;13,560.50;13,560.50;12,151.50
Aug 1, 2024;Aug 2, 2024;13,389.25;13,389.25;12,220.75
Aug 2, 2024;Aug 3, 2024;12,894.00;12,894.00;11,343.50
Aug 3, 2024;Aug 4, 2024;11,022.00;11,022.00;8,963.25
Aug 4, 2024;Aug 5, 2024;10,341.50;10,341.50;8,987.25
Aug 5, 2024;Aug 6, 2024;12,138.25;12,138.25;10,091.50
Aug 6, 2024;Aug 7, 2024;12,317.00;12,317.00;10,162.25
Aug 7, 2024;Aug 8, 2024;12,364.25;12,364.25;10,829.00
Aug 8, 2024;Aug 9, 2024;12,130.25;12,130.25;10,109.75
Aug 9, 2024;Aug 10, 2024;12,105.75;12,105.75;8,858.50
Aug 10, 2024;Aug 11, 2024;10,723.25;10,723.25;8,450.50
Aug 11, 2024;Aug 12, 2024;10,150.25;10,150.25;7,996.75
Aug 12, 2024;Aug 13, 2024;12,249.25;12,249.25;9,544.75
Aug 13, 2024;Aug 14, 2024;12,769.25;12,769.25;10,348.75
Aug 14, 2024;Aug 15, 2024;11,507.00;11,507.00;10,310.25
Aug 15, 2024;Aug 16, 2024;10,499.00;10,499.00;8,489.00
Aug 16, 2024;Aug 17, 2024;11,596.50;11,596.50;9,184.75
Aug 17, 2024;Aug 18, 2024;10,785.25;10,785.25;9,438.25
Aug 18, 2024;Aug 19, 2024;10,161.25;10,161.25;8,386.25
Aug 19, 2024;Aug 20, 2024;12,343.25;12,343.25;10,504.50
Aug 20, 2024;Aug 21, 2024;12,781.25;12,781.25;10,445.00
Aug 21, 2024;Aug 22, 2024;12,832.00;12,832.00;10,638.25
Aug 22, 2024;Aug 23, 2024;12,849.25;12,849.25;9,817.50
Aug 23, 2024;Aug 24, 2024;12,971.00;12,971.00;10,331.50
Aug 24, 2024;Aug 25, 2024;11,528.50;11,528.50;8,376.50
Aug 25, 2024;Aug 26, 2024;10,434.00;10,434.00;8,291.50
Aug 26, 2024;Aug 27, 2024;12,677.25;12,677.25;10,898.50
Aug 27, 2024;Aug 28, 2024;13,086.00;13,086.00;10,972.00
Aug 28, 2024;Aug 29, 2024;13,462.50;13,462.50;10,989.25
Aug 29, 2024;Aug 30, 2024;13,887.75;13,887.75;11,543.00
Aug 30, 2024;Aug 31, 2024;13,783.00;13,783.00;11,771.00
Aug 31, 2024;Sep 1, 2024;11,795.00;11,795.00;9,196.75
Sep 1, 2024;Sep 2, 2024;11,072.00;11,072.00;8,546.25
Sep 2, 2024;Sep 3, 2024;13,445.25;13,445.25;12,481.50
Sep 3, 2024;Sep 4, 2024;13,820.25;13,820.25;12,426.00
Sep 4, 2024;Sep 5, 2024;13,779.75;13,779.75;12,965.75
Sep 5, 2024;Sep 6, 2024;13,890.25;13,890.25;11,766.25
Sep 6, 2024;Sep 7, 2024;13,583.75;13,583.75;12,981.25
Sep 7, 2024;Sep 8, 2024;11,681.75;11,681.75;9,550.50
Sep 8, 2024;Sep 9, 2024;10,716.25;10,716.25;8,342.50
Sep 9, 2024;Sep 10, 2024;13,136.00;13,136.00;10,193.50
Sep 10, 2024;Sep 11, 2024;13,416.25;13,416.25;10,456.75
Sep 11, 2024;Sep 12, 2024;13,657.50;13,657.50;10,267.75
Sep 12, 2024;Sep 13, 2024;13,531.50;13,531.50;11,518.00
Sep 13, 2024;Sep 14, 2024;13,408.00;13,408.00;10,907.00
Sep 14, 2024;Sep 15, 2024;11,704.75;11,704.75;9,539.00
Sep 15, 2024;Sep 16, 2024;10,985.75;10,985.75;9,060.25
Sep 16, 2024;Sep 17, 2024;13,576.00;13,576.00;11,587.50
Sep 17, 2024;Sep 18, 2024;14,010.25;14,010.25;10,603.00
Sep 18, 2024;Sep 19, 2024;14,278.50;14,278.50;9,769.25
Sep 19, 2024;Sep 20, 2024;14,242.25;14,242.25;9,751.25
Sep 20, 2024;Sep 21, 2024;14,057.25;14,057.25;11,182.25
Sep 21, 2024;Sep 22, 2024;12,095.25;12,095.25;10,473.75
Sep 22, 2024;Sep 23, 2024;11,182.75;11,182.75;9,680.00
Sep 23, 2024;Sep 24, 2024;13,385.50;13,385.50;11,797.25
Sep 24, 2024;Sep 25, 2024;14,338.00;14,338.00;11,999.75
Sep 25, 2024;Sep 26, 2024;14,078.50;14,078.50;11,383.00
Sep 26, 2024;Sep 27, 2024;14,628.00;14,628.00;10,760.25
Sep 27, 2024;Sep 28, 2024;14,287.25;14,287.25;10,622.25
Sep 28, 2024;Sep 29, 2024;12,316.00;12,316.00;9,844.25
Sep 29, 2024;Sep 30, 2024;11,681.75;11,681.75;9,688.00
Sep 30, 2024;Oct 1, 2024;12,819.00;12,819.00;9,668.00
Oct 1, 2024;Oct 2, 2024;14,466.00;14,466.00;11,678.75
Oct 2, 2024;Oct 3, 2024;14,461.50;14,461.50;13,207.75
Oct 3, 2024;Oct 4, 2024;14,590.00;14,590.00;12,283.50
Oct 4, 2024;Oct 5, 2024;14,408.75;14,408.75;12,445.00
Oct 5, 2024;Oct 6, 2024;12,426.50;12,426.50;10,755.00
Oct 6, 2024;Oct 7, 2024;11,816.25;11,816.25;9,338.00
Oct 7, 2024;Oct 8, 2024;14,102.75;14,102.75;12,137.00
Oct 8, 2024;Oct 9, 2024;14,359.25;14,359.25;11,603.75
Oct 9, 2024;Oct 10, 2024;14,772.75;14,772.75;11,458.25
Oct 10, 2024;Oct 11, 2024;14,857.00;14,857.00;12,444.50
Oct 11, 2024;Oct 12, 2024;14,644.75;14,644.75;13,695.00
Oct 12, 2024;Oct 13, 2024;12,769.25;12,769.25;10,870.00
Oct 13, 2024;Oct 14, 2024;11,784.00;11,784.00;10,004.75
Oct 14, 2024;Oct 15, 2024;13,738.50;13,738.50;12,857.50
Oct 15, 2024;Oct 16, 2024;14,677.25;14,677.25;13,515.75
Oct 16, 2024;Oct 17, 2024;14,531.75;14,531.75;12,004.75
Oct 17, 2024;Oct 18, 2024;14,659.00;14,659.00;12,845.25
Oct 18, 2024;Oct 19, 2024;14,683.50;14,683.50;14,247.00
Oct 19, 2024;Oct 20, 2024;12,725.75;12,725.75;11,254.00
Oct 20, 2024;Oct 21, 2024;11,954.00;11,954.00;9,405.50
Oct 21, 2024;Oct 22, 2024;14,195.50;14,195.50;11,666.25
Oct 22, 2024;Oct 23, 2024;14,234.75;14,234.75;12,635.50
Oct 23, 2024;Oct 24, 2024;14,687.50;14,687.50;13,247.25
Oct 24, 2024;Oct 25, 2024;15,163.50;15,163.50;13,281.50
Oct 25, 2024;Oct 26, 2024;14,624.50;14,624.50;13,154.25
Oct 26, 2024;Oct 27, 2024;12,391.25;12,391.25;11,150.00
Oct 27, 2024;Oct 28, 2024;12,130.25;12,130.25;11,331.00
Oct 28, 2024;Oct 29, 2024;13,749.00;13,749.00;12,607.75
Oct 29, 2024;Oct 30, 2024;13,875.25;13,875.25;12,964.00
Oct 30, 2024;Oct 31, 2024;14,114.25;14,114.25;13,662.00
Oct 31, 2024;Nov 1, 2024;14,310.75;14,310.75;13,873.25
Nov 1, 2024;Nov 2, 2024;11,792.25;11,792.25;11,350.50
Nov 2, 2024;Nov 3, 2024;12,058.50;12,058.50;11,152.50
Nov 3, 2024;Nov 4, 2024;11,620.50;11,620.50;10,851.75
Nov 4, 2024;Nov 5, 2024;14,207.00;14,207.00;12,996.25
Nov 5, 2024;Nov 6, 2024;15,108.50;15,108.50;14,718.75
Nov 6, 2024;Nov 7, 2024;15,180.25;15,180.25;14,967.25
Nov 7, 2024;Nov 8, 2024;15,266.00;15,266.00;14,846.00
Nov 8, 2024;Nov 9, 2024;15,415.00;15,415.00;14,891.75
Nov 9, 2024;Nov 10, 2024;13,283.00;13,283.00;12,941.75
Nov 10, 2024;Nov 11, 2024;12,037.00;12,037.00;11,761.75
Nov 11, 2024;Nov 12, 2024;14,696.00;14,696.00;13,475.50
Nov 12, 2024;Nov 13, 2024;15,326.25;15,326.25;13,643.75
Nov 13, 2024;Nov 14, 2024;15,567.50;15,567.50;14,654.25
Nov 14, 2024;Nov 15, 2024;15,556.75;15,556.75;14,776.50
Nov 15, 2024;Nov 16, 2024;15,269.25;15,269.25;15,132.75
Nov 16, 2024;Nov 17, 2024;12,991.50;12,991.50;12,595.50
Nov 17, 2024;Nov 18, 2024;12,563.75;12,563.75;9,875.25
Nov 18, 2024;Nov 19, 2024;15,097.50;15,097.50;13,662.25
Nov 19, 2024;Nov 20, 2024;15,600.75;15,600.75;11,849.25
Nov 20, 2024;Nov 21, 2024;15,763.75;15,763.75;12,025.75
Nov 21, 2024;Nov 22, 2024;16,488.25;16,488.25;14,905.25
Nov 22, 2024;Nov 23, 2024;15,502.75;15,502.75;11,961.75
Nov 23, 2024;Nov 24, 2024;12,802.75;12,802.75;10,148.75
Nov 24, 2024;Nov 25, 2024;12,281.25;12,281.25;7,998.50
Nov 25, 2024;Nov 26, 2024;14,759.50;14,759.50;12,022.25
Nov 26, 2024;Nov 27, 2024;15,286.25;15,286.25;13,890.25
Nov 27, 2024;Nov 28, 2024;15,369.75;15,369.75;12,321.25
Nov 28, 2024;Nov 29, 2024;15,540.25;15,540.25;13,925.25
Nov 29, 2024;Nov 30, 2024;15,503.00;15,503.00;13,630.00
Nov 30, 2024;Dec 1, 2024;14,009.25;14,009.25;12,036.00
Dec 1, 2024;Dec 2, 2024;13,556.00;13,556.00;12,271.00
Dec 2, 2024;Dec 3, 2024;15,455.25;15,455.25;13,204.75
Dec 3, 2024;Dec 4, 2024;15,335.75;15,335.75;14,099.50
Dec 4, 2024;Dec 5, 2024;16,164.50;16,164.50;15,662.50
Dec 5, 2024;Dec 6, 2024;16,161.25;16,161.25;13,437.75
Dec 6, 2024;Dec 7, 2024;15,653.75;15,653.75;11,704.50
Dec 7, 2024;Dec 8, 2024;14,126.00;14,126.00;10,093.25
Dec 8, 2024;Dec 9, 2024;13,009.50;13,009.50;11,113.75
Dec 9, 2024;Dec 10, 2024;15,697.75;15,697.75;12,924.50
Dec 10, 2024;Dec 11, 2024;16,235.00;16,235.00;14,068.75
Dec 11, 2024;Dec 12, 2024;16,283.50;16,283.50;15,711.25
Dec 12, 2024;Dec 13, 2024;16,436.00;16,436.00;16,311.25
Dec 13, 2024;Dec 14, 2024;16,094.50;16,094.50;15,798.25
Dec 14, 2024;Dec 15, 2024;14,057.50;14,057.50;13,550.50
Dec 15, 2024;Dec 16, 2024;13,160.50;13,160.50;11,153.50
Dec 16, 2024;Dec 17, 2024;15,176.25;15,176.25;12,513.50
Dec 17, 2024;Dec 18, 2024;15,228.50;15,228.50;14,492.25
Dec 18, 2024;Dec 19, 2024;14,926.50;14,926.50;11,137.25
Dec 19, 2024;Dec 20, 2024;14,875.25;14,875.25;10,661.50
Dec 20, 2024;Dec 21, 2024;14,811.50;14,811.50;12,515.25
Dec 21, 2024;Dec 22, 2024;12,850.50;12,850.50;9,331.00
Dec 22, 2024;Dec 23, 2024;12,285.75;12,285.75;9,021.00
Dec 23, 2024;Dec 24, 2024;13,740.75;13,740.75;10,847.00
Dec 24, 2024;Dec 25, 2024;12,860.25;12,860.25;12,186.75
Dec 25, 2024;Dec 26, 2024;11,158.50;11,158.50;10,928.00
Dec 26, 2024;Dec 27, 2024;11,177.75;11,177.75;10,111.50
Dec 27, 2024;Dec 28, 2024;12,662.75;12,662.75;11,865.75
Dec 28, 2024;Dec 29, 2024;11,555.50;11,555.50;11,098.75
Dec 29, 2024;Dec 30, 2024;12,157.00;12,157.00;12,061.75
Dec 30, 2024;Dec 31, 2024;13,528.00;13,528.00;13,446.00
Dec 31, 2024;Jan 1, 2025;13,288.00;13,288.00;13,160.25
Jan 1, 2025;Jan 2, 2025;11,543.50;11,543.50;9,709.00
Jan 2, 2025;Jan 3, 2025;13,787.25;13,787.25;12,607.50
Jan 3, 2025;Jan 4, 2025;14,305.75;14,305.75;12,844.50
Jan 4, 2025;Jan 5, 2025;13,486.75;13,486.75;12,887.25
Jan 5, 2025;Jan 6, 2025;12,864.75;12,864.75;10,070.50
Jan 6, 2025;Jan 7, 2025;14,868.50;14,868.50;10,695.50
Jan 7, 2025;Jan 8, 2025;15,738.25;15,738.25;11,432.75
Jan 8, 2025;Jan 9, 2025;15,987.75;15,987.75;14,544.00
Jan 9, 2025;Jan 10, 2025;15,983.25;15,983.25;12,932.25
Jan 10, 2025;Jan 11, 2025;15,134.50;15,134.50;14,383.75
Jan 11, 2025;Jan 12, 2025;14,173.00;14,173.00;13,502.00
Jan 12, 2025;Jan 13, 2025;13,470.75;13,470.75;12,738.50
Jan 13, 2025;Jan 14, 2025;16,123.25;16,123.25;14,933.75
Jan 14, 2025;Jan 15, 2025;15,355.25;15,355.25;14,585.00
Jan 15, 2025;Jan 16, 2025;16,283.00;16,283.00;15,425.50
Jan 16, 2025;Jan 17, 2025;16,434.75;16,434.75;15,756.25
Jan 17, 2025;Jan 18, 2025;16,209.00;16,209.00;15,742.00
Jan 18, 2025;Jan 19, 2025;13,888.00;13,888.00;13,419.25
Jan 19, 2025;Jan 20, 2025;13,832.25;13,832.25;13,563.25
Jan 20, 2025;Jan 21, 2025;16,423.00;16,423.00;16,198.00
Jan 21, 2025;Jan 22, 2025;15,875.50;15,875.50;14,787.75
Jan 22, 2025;Jan 23, 2025;16,585.25;16,585.25;13,949.25
Jan 23, 2025;Jan 24, 2025;16,364.25;16,364.25;13,337.75
Jan 24, 2025;Jan 25, 2025;15,826.75;15,826.75;11,622.25
Jan 25, 2025;Jan 26, 2025;13,583.25;13,583.25;11,010.50
Jan 26, 2025;Jan 27, 2025;13,119.50;13,119.50;10,055.50
Jan 27, 2025;Jan 28, 2025;15,294.75;15,294.75;10,963.00
Jan 28, 2025;Jan 29, 2025;15,632.25;15,632.25;11,699.50
Jan 29, 2025;Jan 30, 2025;15,644.75;15,644.75;12,489.25
Jan 30, 2025;Jan 31, 2025;16,406.50;16,406.50;14,917.00
Jan 31, 2025;Feb 1, 2025;15,116.50;15,116.50;14,422.75
Feb 1, 2025;Feb 2, 2025;13,346.00;13,346.00;11,113.50
Feb 2, 2025;Feb 3, 2025;13,209.25;13,209.25;12,068.50
Feb 3, 2025;Feb 4, 2025;15,902.00;15,902.00;15,058.25
Feb 4, 2025;Feb 5, 2025;16,613.00;16,613.00;16,383.00
Feb 5, 2025;Feb 6, 2025;16,361.75;16,361.75;15,902.75
Feb 6, 2025;Feb 7, 2025;16,314.00;16,314.00;14,410.50
Feb 7, 2025;Feb 8, 2025;15,894.50;15,894.50;12,491.50
Feb 8, 2025;Feb 9, 2025;13,452.25;13,452.25;11,686.00
Feb 9, 2025;Feb 10, 2025;13,010.25;13,010.25;12,658.00
Feb 10, 2025;Feb 11, 2025;15,740.00;15,740.00;13,870.75
Feb 11, 2025;Feb 12, 2025;16,102.50;16,102.50;14,730.25
Feb 12, 2025;Feb 13, 2025;15,941.25;15,941.25;15,158.75
Feb 13, 2025;Feb 14, 2025;16,225.75;16,225.75;15,355.50
Feb 14, 2025;Feb 15, 2025;17,486.50;17,486.50;16,704.50
Feb 15, 2025;Feb 16, 2025;13,718.00;13,718.00;12,818.50
Feb 16, 2025;Feb 17, 2025;12,988.00;12,988.00;11,605.75
Feb 17, 2025;Feb 18, 2025;15,365.75;15,365.75;13,219.25
Feb 18, 2025;Feb 19, 2025;15,688.25;15,688.25;12,883.25
Feb 19, 2025;Feb 20, 2025;15,635.25;15,635.25;13,171.50
Feb 20, 2025;Feb 21, 2025;15,333.50;15,333.50;13,506.00
Feb 21, 2025;Feb 22, 2025;14,609.75;14,609.75;11,794.75
Feb 22, 2025;Feb 23, 2025;12,797.00;12,797.00;10,088.25
Feb 23, 2025;Feb 24, 2025;12,017.00;12,017.00;10,312.50
Feb 24, 2025;Feb 25, 2025;14,797.50;14,797.50;11,676.50
Feb 25, 2025;Feb 26, 2025;15,149.50;15,149.50;14,396.50
Feb 26, 2025;Feb 27, 2025;14,924.25;14,924.25;11,805.25
Feb 27, 2025;Feb 28, 2025;15,170.00;15,170.00;12,965.00
Feb 28, 2025;Mar 1, 2025;14,747.50;14,747.50;13,090.25
Mar 1, 2025;Mar 2, 2025;12,686.00;12,686.00;10,416.25
Mar 2, 2025;Mar 3, 2025;12,367.50;12,367.50;9,383.00
Mar 3, 2025;Mar 4, 2025;14,646.00;14,646.00;12,795.50
Mar 4, 2025;Mar 5, 2025;14,879.50;14,879.50;13,194.00
Mar 5, 2025;Mar 6, 2025;15,021.50;15,021.50;13,272.50
Mar 6, 2025;Mar 7, 2025;14,895.50;14,895.50;11,689.50
Mar 7, 2025;Mar 8, 2025;14,616.50;14,616.50;12,230.75
Mar 8, 2025;Mar 9, 2025;12,618.50;12,618.50;10,122.25
Mar 9, 2025;Mar 10, 2025;11,697.50;11,697.50;9,699.00
Mar 10, 2025;Mar 11, 2025;13,351.75;13,351.75;12,130.00
Mar 11, 2025;Mar 12, 2025;14,658.75;14,658.75;13,528.25
Mar 12, 2025;Mar 13, 2025;14,996.00;14,996.00;13,852.75
Mar 13, 2025;Mar 14, 2025;15,495.50;15,495.50;14,691.00
Mar 14, 2025;Mar 15, 2025;15,388.75;15,388.75;14,082.25
Mar 15, 2025;Mar 16, 2025;13,241.00;13,241.00;9,518.75
Mar 16, 2025;Mar 17, 2025;12,232.00;12,232.00;8,354.25
Mar 17, 2025;Mar 18, 2025;14,824.25;14,824.25;11,713.25
Mar 18, 2025;Mar 19, 2025;14,065.50;14,065.50;9,455.25
Mar 19, 2025;Mar 20, 2025;14,633.00;14,633.00;11,791.25
Mar 20, 2025;Mar 21, 2025;14,386.00;14,386.00;12,007.25
Mar 21, 2025;Mar 22, 2025;14,146.50;14,146.50;10,790.00
Mar 22, 2025;Mar 23, 2025;12,082.00;12,082.00;10,053.75
Mar 23, 2025;Mar 24, 2025;11,315.50;11,315.50;9,993.00
Mar 24, 2025;Mar 25, 2025;13,567.00;13,567.00;12,072.50
Mar 25, 2025;Mar 26, 2025;13,724.75;13,724.75;11,784.75
Mar 26, 2025;Mar 27, 2025;14,053.25;14,053.25;12,489.25
Mar 27, 2025;Mar 28, 2025;13,981.25;13,981.25;11,612.50
Mar 28, 2025;Mar 29, 2025;13,754.25;13,754.25;11,294.75
Mar 29, 2025;Mar 30, 2025;11,884.75;11,884.75;7,649.00
Mar 30, 2025;Mar 31, 2025;11,126.75;11,126.75;-
Mar 31, 2025;Apr 1, 2025;13,581.75;13,581.75;10,298.75
Apr 1, 2025;Apr 2, 2025;15,416.00;15,416.00;-4,655,868.00
Apr 2, 2025;Apr 3, 2025;-;-;-
